,FIPS_Code,State,Area_name,Civilian_labor_force_2011,Employed_2011,Unemployed_2011,Unemployment_rate_2011,Median_Household_Income_2011,Med_HH_Income_Percent_of_StateTotal_2011
0,0,US,United States,154505871,140674478,13831393,9,50502,100
1863,36000,NY,New York,9504239,8729587,774652,8.2,55147,100
1864,36001,NY,Albany County,153850,143048,10802,7,56602,102.6
1865,36003,NY,Allegany County,23757,21681,2076,8.7,39900,72.4
1866,36005,NY,Bronx County,545178,478381,66797,12.3,32137,58.3
1867,36007,NY,Broome County,93831,85894,7937,8.5,43756,79.3
1868,36009,NY,Cattaraugus County,40323,36812,3511,8.7,39368,71.4
1869,36011,NY,Cayuga County,40577,37438,3139,7.7,47875,86.8
1870,36013,NY,Chautauqua County,63007,58013,4994,7.9,40782,74
1871,36015,NY,Chemung County,40015,36852,3163,7.9,47994,87
1872,36017,NY,Chenango County,24605,22557,2048,8.3,40693,73.8
1873,36019,NY,Clinton County,38057,34303,3754,9.9,49025,88.9
1874,36021,NY,Columbia County,30334,28093,2241,7.4,53500,97
1875,36023,NY,Cortland County,24064,22041,2023,8.4,44397,80.5
1876,36025,NY,Delaware County,21469,19613,1856,8.6,38208,69.3
1877,36027,NY,Dutchess County,145180,134385,10795,7.4,67153,121.8
1878,36029,NY,Erie County,460282,424091,36191,7.9,47505,86.1
1879,36031,NY,Essex County,17672,16041,1631,9.2,45668,82.8
1880,36033,NY,Franklin County,22340,20318,2022,9.1,40092,72.7
1881,36035,NY,Fulton County,26777,24099,2678,10,46976,85.2
1882,36037,NY,Genesee County,32015,29607,2408,7.5,45955,83.3
1883,36039,NY,Greene County,23683,21626,2057,8.7,45127,81.8
1884,36041,NY,Hamilton County,2999,2765,234,7.8,43104,78.2
1885,36043,NY,Herkimer County,30880,28273,2607,8.4,40504,73.4
1886,36045,NY,Jefferson County,48996,44229,4767,9.7,45292,82.1
1887,36047,NY,Kings County,1119975,1011289,108686,9.7,42437,77
1888,36049,NY,Lewis County,12521,11329,1192,9.5,44097,80
1889,36051,NY,Livingston County,32087,29582,2505,7.8,50186,91
1890,36053,NY,Madison County,35890,32969,2921,8.1,49326,89.4
1891,36055,NY,Monroe County,366795,339012,27783,7.6,50247,91.1
1892,36057,NY,Montgomery County,23757,21430,2327,9.8,40160,72.8
1893,36059,NY,Nassau County,681544,635868,45676,6.7,91162,165.3
1894,36061,NY,New York County,921593,853276,68317,7.4,65833,119.4
1895,36063,NY,Niagara County,110239,100948,9291,8.4,45291,82.1
1896,36065,NY,Oneida County,107753,99009,8744,8.1,45957,83.3
1897,36067,NY,Onondaga County,227249,209775,17474,7.7,53394,96.8
1898,36069,NY,Ontario County,56182,52132,4050,7.2,52367,95
1899,36071,NY,Orange County,173955,160349,13606,7.8,65648,119
1900,36073,NY,Orleans County,19056,17309,1747,9.2,43870,79.6
1901,36075,NY,Oswego County,57464,51555,5909,10.3,43687,79.2
1902,36077,NY,Otsego County,31269,28877,2392,7.6,43563,79
1903,36079,NY,Putnam County,54048,50503,3545,6.6,87248,158.2
1904,36081,NY,Queens County,1118132,1027958,90174,8.1,53124,96.3
1905,36083,NY,Rensselaer County,81504,75366,6138,7.5,57059,103.5
1906,36085,NY,Richmond County,241002,221262,19740,8.2,69436,125.9
1907,36087,NY,Rockland County,155845,145709,10136,6.5,80765,146.5
1908,36089,NY,St. Lawrence County,48487,43445,5042,10.4,42609,77.3
1909,36091,NY,Saratoga County,115570,107978,7592,6.6,64298,116.6
1910,36093,NY,Schenectady County,74090,68537,5553,7.5,52283,94.8
1911,36095,NY,Schoharie County,15402,13960,1442,9.4,49610,90
1912,36097,NY,Schuyler County,9982,9203,779,7.8,45986,83.4
1913,36099,NY,Seneca County,16799,15508,1291,7.7,45951,83.3
1914,36101,NY,Steuben County,44339,40178,4161,9.4,43834,79.5
1915,36103,NY,Suffolk County,778671,721298,57373,7.4,83360,151.2
1916,36105,NY,Sullivan County,34294,31167,3127,9.1,46161,83.7
1917,36107,NY,Tioga County,24939,22926,2013,8.1,51675,93.7
1918,36109,NY,Tompkins County,55331,52098,3233,5.8,49639,90
1919,36111,NY,Ulster County,87658,80511,7147,8.2,54060,98
1920,36113,NY,Warren County,35604,32694,2910,8.2,50807,92.1
1921,36115,NY,Washington County,32086,29675,2411,7.5,48555,88
1922,36117,NY,Wayne County,47218,43386,3832,8.1,51901,94.1
1923,36119,NY,Westchester County,472700,440645,32055,6.8,76728,139.1
1924,36121,NY,Wyoming County,20201,18498,1703,8.4,50192,91
1925,36123,NY,Yates County,13124,12216,908,6.9,44776,81.2
